brand,first_reply_pairs,deflect_rate,ack_only_rate,substantive_rate,non_latin_rate,median_reply_chars,thanks_rate,multi_turn_rate,distinct_customers,usable_score
SouthwestAir,28828,0.1829818232274178,0.0,0.7009157763285695,0.0,107.0,0.07204800888025531,0.29270154016927985,19712,0.7199534121465274
nationalrailenq,4073,0.02381536950650626,0.012767002209673459,0.678615271298797,0.0,80.0,0.15541369997544807,0.5209918978639824,2146,0.7193808994931283
AirAsiaSupport,12694,0.19513155821648023,0.002363321254135812,0.7056089491098156,0.029699070426973374,102.0,0.1090278871907988,0.3537891917441311,6355,0.7157998781479744
LondonMidland,6498,0.034164358264081256,0.05278547245306248,0.6204986149584487,0.0,84.0,0.14296706678978147,0.5317020621729763,3050,0.714985874065088
GloCare,6300,0.052222222222222225,0.0,0.7223809523809523,0.0,90.0,0.08142857142857143,0.49682539682539684,2399,0.7095135077997664
ATVIAssist,17514,0.25168436679228046,0.017300445357999315,0.666038597693274,0.0,97.0,0.06766015758821514,0.42503140344866963,12422,0.7090581622410621
sainsburys,19399,0.2656322490850044,0.0010309809784009485,0.5946698283416672,0.0,107.0,0.10763441414505902,0.4177534924480643,10334,0.7069736300431865
VirginAtlantic,4256,0.10220864661654136,0.014097744360902255,0.6386278195488722,0.0,83.0,0.15531015037593984,0.5279605263157895,2402,0.705365040986978
AskAmex,11090,0.0642019837691614,0.0002705139765554554,0.7324616771866547,9.017132551848512e-05,91.0,0.060504959422903515,0.35166816952209196,3976,0.6925724003499305
VerizonSupport,17805,0.14456613310867733,0.00016849199663016007,0.5467003650659927,0.0004493119910137602,72.0,0.05593934288121314,0.5854535242909296,7778,0.6884187156641934
marksandspencer,11425,0.12017505470459519,0.03413566739606127,0.6488402625820568,8.7527352297593e-05,100.0,0.0986433260393873,0.32332603938730853,7599,0.6747975133862376
AskPlayStation,18675,0.28840696117804554,0.004337349397590362,0.5928781793842035,0.000214190093708166,86.0,0.061204819277108434,0.40921017402945115,12214,0.6711109625014182
Delta,42114,0.19492330341454148,9.498029158949519e-05,0.5636367953649618,0.00016621551028161657,90.0,0.06947808329771572,0.28213895616659546,22329,0.6704650868278166
AskeBay,9612,0.30930087390761546,0.0009363295880149813,0.6473158551810237,0.0012484394506866417,120.0,0.07282563462338744,0.3756762380357886,4963,0.6610208601192413
